Type	Name	DRINK_ID	Premium	Description	Bar	Unique
Cocktail	Mezcal Mule	ctaR7XJGab	FALSE	Ilegal Joven mezcal, guava and passion fruit syrups, pineapple juice, lime juice and Gosling’s ginger beer	Aquadome Market Bar	FALSE
Cocktail	Mezcal Mule	ctaR7XJGab	FALSE	Ilegal Joven mezcal, guava and passion fruit syrups, pineapple juice, lime juice and Gosling’s ginger beer	Boleros	FALSE
Cocktail	Mezcal Mule	ctaR7XJGab	FALSE	Ilegal Joven mezcal, guava and passion fruit syrups, pineapple juice, lime juice and Gosling’s ginger beer	Cantina Fresca	FALSE
Cocktail	Mezcal Mule	ctaR7XJGab	FALSE	Ilegal Joven mezcal, guava and passion fruit syrups, pineapple juice, lime juice and Gosling’s ginger beer	The Overlook Bar	FALSE
Cocktail	Mezcal Mule	ctaR7XJGab	FALSE	Ilegal Joven mezcal, guava and passion fruit syrups, pineapple juice, lime juice and Gosling’s ginger beer	Trellis Bar	FALSE
Rum	Miami Club	4r8v4ex25v	FALSE	—	The Overlook Bar	TRUE
Cocktail	Michelada	Cbnvp0AMYM	FALSE	Beer, tomato juice, hot sauce, lime juice and salt	Cantina Fresca	TRUE
Beer	Michelob Ultra	uZFLWM7LAh	FALSE	American light lager 4.2% ABV	1400 Lobby Bar	FALSE
Beer	Michelob Ultra	uZFLWM7LAh	FALSE	American light lager 4.2% ABV	Aquadome Market Bar	FALSE
Beer	Michelob Ultra	uZFLWM7LAh	FALSE	American light lager 4.2% ABV	Dueling Pianos	FALSE
Beer	Michelob Ultra	uZFLWM7LAh	FALSE	American light lager 4.2% ABV	Playmakers Sports Bar	FALSE
Beer	Michelob Ultra	uZFLWM7LAh	FALSE	American light lager 4.2% ABV	The Overlook Bar	FALSE
Beer	Michelob Ultra	uZFLWM7LAh	FALSE	American light lager 4.2% ABV	Trellis Bar	FALSE
Liqueurs	Midori Melon	qHBuDUvWkW	FALSE	—	Aquadome Market Bar	FALSE
Liqueurs	Midori Melon	qHBuDUvWkW	FALSE	—	The Overlook Bar	FALSE
Liqueurs	Midori Melon	qHBuDUvWkW	FALSE	—	Trellis Bar	FALSE
Cocktail	Millennium Bellini	u3Ts6x5QBW	FALSE	Santa Elvira Prosecco and peach purée	1400 Lobby Bar	TRUE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Aquadome Market Bar	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Boleros	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Cantina Fresca	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Dueling Pianos	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Playmakers Sports Bar	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Schooner Bar	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	The Lime and Coconut Bars	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	The Overlook Bar	FALSE
Beer	Miller Lite	Dz9lfGCAvi	FALSE	American light pilsner 4.2% ABV	Trellis Bar	FALSE
Cocktail	Mimosa	b3DdIkr6Pe	FALSE	Sparkling wine and orange juice	Bubbles	TRUE
Cocktail	Mint Berry Delight	baxOR0JU9A	FALSE	Absolut vodka, lemon juice, blueberry purée and mint topped with club soda	Aquadome Market Bar	FALSE
Cocktail	Mint Berry Delight	baxOR0JU9A	FALSE	Absolut vodka, lemon juice, blueberry purée and mint topped with club soda	The Overlook Bar	FALSE
Cocktail	Mint Berry Delight	baxOR0JU9A	FALSE	Absolut vodka, lemon juice, blueberry purée and mint topped with club soda	Trellis Bar	FALSE
Sparkling Wine	Moët & Chandon Brut	HRvjXqW0ju	TRUE	Chandon	Bubbles	TRUE
Sparkling Wine	Moët & Chandon Brut Rosé	ZzVhWLpFYO	TRUE	Chandon	Bubbles	TRUE
Bottles	Moët & Chandon Ice Imperial	7KuE5GnOcc	TRUE	Champagne	The Hideaway Bar	TRUE
Bottles	Moët & Chandon Imperial Brut	kWOAvKClqu	TRUE	Champagne	The Hideaway Bar	TRUE
